codiceregionale,ComuneCatastale,impianto Libro fond.,attività segnalate,Comune Amministartivo,UfficioCatasto
2,ALA,01/01/1929,,Ala,Rovereto
98,CHIZZOLA,01/05/1927,,Ala,Rovereto
279,PILCANTE,01/05/1929,,Ala,Rovereto
313,RONCHI,01/01/1929,,Ala,Rovereto
332,SANTA MARGHERITA,01/04/1930,,Ala,Rovereto
349,SERRAVALLE,01/02/1933,,Ala,Rovereto
3,ALBIANO,10/04/1978,,Albiano,Trento
4,ALDENO,01/11/1934,rilevam.,Aldeno,Trento
146,FAVER,15/04/1936,rilevam.,Altavalle,Trento
167,GRAUNO,01/01/1937,,Altavalle,Trento
169,GRUMES,01/11/1938,,Altavalle,Trento
411,VALDA,01/11/1938,,Altavalle,Trento
39,BOSENTINO,01/02/1902,rilevam.,Altopiano della Vigolana,Trento
94,CENTA,01/10/1900,rilevam.,Altopiano della Vigolana,Trento
418,VATTARO,01/04/1901,rilevam.,Altopiano della Vigolana,Trento
433,VIGOLO VATTARO,01/05/1901,rilevam.,Altopiano della Vigolana,Trento
6,AMBLAR,01/07/1913,,Amblar-Don,Fondo
137,DON,01/04/1912,,Amblar-Don,Fondo
7,ANDALO,01/06/1908,rilevam.,Andalo,Mezzolombardo
9,ARCO,01/03/1903,,Arco,Riva del Garda
258,OLTRESARCA,01/11/1901,,Arco,Riva del Garda
310,ROMARZOLLO,01/05/1902,,Arco,Riva del Garda
12,AVIO,01/06/1933,,Avio,Rovereto
36,BORGHETTO,01/04/1930,,Avio,Rovereto
18,BASELGA DI PINÈ I,01/06/1909,rilevam.,Baselga di Pinè,Pergine Valsugana
19,BASELGA DI PINÈ II,01/06/1909,,Baselga di Pinè,Pergine Valsugana
233,MIOLA I,01/05/1910,rilevam.,Baselga di Pinè,Pergine Valsugana
234,MIOLA II,01/05/1910,,Baselga di Pinè,Pergine Valsugana
20,BEDOLLO,30/10/1993,rilevam.,Bedollo,Pergine Valsugana
22,BESENELLO,01/02/1900,,Besenello,Rovereto
25,BIENO,01/04/1909,,Bieno,Borgo Valsugana
13,BALBIDO,01/05/1914,,Bleggio superiore,Tione di Trento
27,BLEGGIO SUPERIORE,01/05/1911,,Bleggio superiore,Tione di Trento
90,CAVRASTO,01/05/1914,,Bleggio superiore,Tione di Trento
181,LARIDO,01/05/1914,,Bleggio superiore,Tione di Trento
204,MADICE,01/05/1914,,Bleggio superiore,Tione di Trento
303,RANGO,01/05/1914,,Bleggio superiore,Tione di Trento
28,BOCENAGO,01/05/1960,,Bocenago,Tione di Trento
33,BONDONE,01/08/1958,rilevam.,Bondone,Tione di Trento
34,BONDONE STORO,01/01/1956,,Bondone,Tione di Trento
47,BRIONE,01/05/1961,,Borgo Chiese,Tione di Trento
99,CIMEGO I,01/02/1931,,Borgo Chiese,Tione di Trento
100,CIMEGO II,01/02/1931,,Borgo Chiese,Tione di Trento
115,CONDINO,01/07/1957,,Borgo Chiese,Tione di Trento
29,BOLBENO,01/12/1904,,Borgo Lares,Tione di Trento
446,ZUCLO I,01/08/1910,,Borgo Lares,Tione di Trento
447,ZUCLO II,01/08/1910,,Borgo Lares,Tione di Trento
37,BORGO,01/07/1942,,Borgo Valsugana,Borgo Valsugana
44,BRENTONICO,01/03/1928,rilevam.,Brentonico,Rovereto
45,BRESIMO,01/06/1915,,Bresimo,Cles
46,BREZ,01/02/1912,,Brez,Fondo
49,CADERZONE,01/09/1964,,Caderzone,Tione di Trento
51,CAGNÒ,01/10/1913,,Cagnò,Cles
53,CALCERANICA,01/09/1901,rilevam.,Calceranica al lago,Pergine Valsugana
40,BOZZANA,01/01/1927,,Caldes,Malè
54,CALDES,01/03/1927,,Caldes,Malè
328,SAMOCLEVO,01/04/1927,,Caldes,Malè
330,SAN GIACOMO,01/03/1927,,Caldes,Malè
55,CALDONAZZO,01/11/1904,rilevam.,Caldonazzo,Pergine Valsugana
56,CALLIANO I,01-05-1899,,Calliano,Rovereto
57,CALLIANO II,01-05-1899,,Calliano,Rovereto
58,CALLIANO III,01-05-1899,,Calliano,Rovereto
85,CASTELPIETRA,01-05-1899,,Calliano,Rovereto
59,CAMPITELLO-CIAMPEDEL,01/08/1952,rilevam.,Campitello di Fassa-Ciampedel,Cavalese
61,CAMPODENNO I,01/08/1913,rilevam.,Campodenno,Mezzolombardo
62,CAMPODENNO II,01/08/1913,,Campodenno,Mezzolombardo
133,DERCOLO I,01/04/1913,,Campodenno,Mezzolombardo
134,DERCOLO II,01/04/1913,,Campodenno,Mezzolombardo
202,LOVER,01/02/1912,,Campodenno,Mezzolombardo
298,QUETTA I,01/08/1912,,Campodenno,Mezzolombardo
299,QUETTA II,01/08/1912,,Campodenno,Mezzolombardo
388,TERMON I,01/09/1913,,Campodenno,Mezzolombardo
389,TERMON II,01/09/1913,,Campodenno,Mezzolombardo
64,CANAL S. BOVO I,01/02/1957,rilevam.,Canal San Bovo,Fiera di Primiero
65,CANAL S. BOVO II,01/02/1957,,Canal San Bovo,Fiera di Primiero
66,CANAZEI-CIANACEI,01/08/1953,,Canazei-Cianacei,Cavalese
68,CAPRIANA,01/04/1908,rilevam.,Capriana,Cavalese
320,ROVER CARBONARE,01/05/1906,rilevam.,Capriana,Cavalese
69,CARANO,01/02/1903,,Carano,Cavalese
72,CARISOLO I,01/07/1958,,Carisolo,Tione di Trento
73,CARISOLO II,01/07/1958,,Carisolo,Tione di Trento
74,CARZANO,01/11/1914,,Carzano,Borgo Valsugana
80,CASTELLO,01/01/1956,,Castel condino,Tione di Trento
359,SPERA I,01/08/1907,rilevam.,Castel Ivano,Borgo Valsugana
360,SPERA II,01/08/1907,,Castel Ivano,Borgo Valsugana
372,STRIGNO,01/05/1965,,Castel Ivano,Borgo Valsugana
435,VILLA AGNEDO,01/12/1909,,Castel Ivano,Borgo Valsugana
78,CASTELFONDO,01/01/1920,,Castelfondo,Fondo
83,CASTELLO TESINO,01/01/1936,,Castello Tesino,Borgo Valsugana
82,CASTELLO FIEMME,01/09/1905,,Castello-Molina di Fiemme,Cavalese
368,STRAMENTIZZO,11/04/1984,,Castello-Molina di Fiemme,Cavalese
84,CASTELNUOVO,01/01/1979,,Castelnuovo,Borgo Valsugana
86,CAVALESE,01/09/1908,rilevam.,Cavalese,Cavalese
87,CAVARENO,01/09/1931,,Cavareno,Fondo
88,CAVEDAGO,01/06/1911,rilevam.,Cavedago,Mezzolombardo
48,BRUSINO,01/01/1934,,Cavedine,Trento
177,LAGUNA MUSTÈ I,01/05/1935,,Cavedine,Trento
178,LAGUNA MUSTÈ II,01/05/1935,,Cavedine,Trento
369,STRAVINO,01/02/1934,,Cavedine,Trento
428,VIGO CAVEDINE,01/01/1935,,Cavedine,Trento
89,CAVIZZANA,01/11/1927,,Cavizzana,Malè
93,CEMBRA,01/04/1941,,Cembra Lisignago,Trento
191,LISIGNAGO,01/12/1932,,Cembra Lisignago,Trento
101,CIMONE,01/12/1952,,Cimone,Trento
102,CINTE TESINO I,01/11/1911,,Cinte Tesino,Borgo Valsugana
103,CINTE TESINO II,01/11/1911,,Cinte Tesino,Borgo Valsugana
104,CIS,01/01/1915,,Cis,Cles
105,CIVEZZANO,01/11/1907,,Civezzano,Trento
106,CLES,01/05/1910,,Cles,Cles
225,MECHEL,01/07/1908,,Cles,Cles
107,CLOZ,01/06/1914,,Cloz,Fondo
26,BLEGGIO INFERIORE,01/05/1911,,Comano Terme,Tione di Trento
35,BONO,01/05/1911,,Comano Terme,Tione di Trento
60,CAMPO,01/04/1920,,Comano Terme,Tione di Trento
71,CARES,01/04/1913,,Comano Terme,Tione di Trento
112,COMANO,01/04/1930,,Comano Terme,Tione di Trento
114,COMIGHELLO,01/07/1911,,Comano Terme,Tione di Trento
129,DASINDO,01/04/1914,,Comano Terme,Tione di Trento
141,DUVREDO,01/04/1913,,Comano Terme,Tione di Trento
166,GODENZO,01/04/1930,,Comano Terme,Tione di Trento
196,LOMASO,01/04/1913,,Comano Terme,Tione di Trento
203,LUNDO,01/06/1926,,Comano Terme,Tione di Trento
281,POIA,01/04/1920,,Comano Terme,Tione di Trento
396,TIGNERONE,01/03/1913,,Comano Terme,Tione di Trento
430,VIGO LOMASO,01/08/1915,,Comano Terme,Tione di Trento
5,ALMAZZAGO,01/11/1932,,Commezzadura,Malè
130,DEGGIANO,01/12/1931,,Commezzadura,Malè
220,MASTELLINA I,01/11/1932,,Commezzadura,Malè
221,MASTELLINA II,01/11/1932,,Commezzadura,Malè
227,MESTRIAGO,01/11/1932,,Commezzadura,Malè
276,PIANO,01/11/1932,,Commezzadura,Malè
122,CUNEVO,01/08/1911,,Contà,Cles
